,Clinic,Location,Bus Route,Cross Streets,Hours,Language,Patient Eligibility,Special Populations Served,Payer Population Served,Payment Practices,Required Documents,Service Description,Clinical Services,Routine Services,Clinic Type
51,;Progressive Community Health Centers;Hillside Family Health Center;,";1452 N 7th Street, 2nd floor, Milwaukee, WI 53205 ;(414) 935-8000;  Fax: (414) 287-0907;www.progressivechc.org;  info@progressivechc.org;","s: 19, 57, and 80;", Inside Hillside Family Resource Center (N 7th &  ;W Cherry Streets) ;," Monday, Tuesday and Wednesday; 8:00 am – 5:00 pm; ;Thursday 8:00 am – 6:00 pm; Friday 8:00 am - 5:00 pm; Call to schedule an appointment;  Walk-ins accepted for established patients; calling ahead is  ;encouraged to determine provider availability;"," English, Hmong, Language Line;",; All ages; Clinic will assist with insurance enrollment;, Homeless;, Commercial Insurance; Medicaid / ;BadgerCare; Medicare; Qualified Health Plan Insurer; Uninsured;, Sliding fee scale; clinic bills 3rd party payer;," Photo identification, medical history,  ;insurance card (if applicable), co-pays (if applicable);",";The clinic provides comprehensive primary care services to people of all ages ;and incomes. Services offered at this clinic location include family medicine, ;integrated behavioral health, chronic disease management and benefits enrollment ;assistance. ;",;  Behavioral Health Services ;(for established patients);  Health Insurance  ;Navigation Services; Laboratory Services;  Medication Services; Primary Care; Social Work Services;,; Diabetes; Flu Shots; HIV;  Immunizations  ;other than Flu; Pregnancy Testing; STD; TB Testing;,Medical ;FQHC;;
52,;Progressive Community Health Centers;Kilbourn Avenue Health Center;,";1218 W Kilbourn Avenue, Milwaukee, WI 53233;(414) 935-8000;  Fax: (414) 220-5184;www.progressivechc.org   info@progressivechc.org;","s: 12, 31;", Inside Aurora Sinai physician office building  ;(N 12th Street & W Kilbourn Avenue);, Monday – Friday 8:00 am – 5:00 pm; Call to schedule an appointment;  Walk-ins accepted for established patients; calling ahead is  ;encouraged to determine provider availability;," English, Language Line;",; All ages; Clinic will assist with insurance enrollment;, Homeless;, Commercial Insurance; Medicaid / ;BadgerCare; Medicare; Qualified Health Plan Insurer; Uninsured;, Sliding fee scale; clinic bills 3rd party payer;," Photo identification, medical history,  ;insurance card (if applicable), co-pays (if applicable);",";The clinic provides comprehensive primary care services to people of all ages ;and incomes. Services offered at this clinic location include family medicine, ;integrated behavioral health, chronic disease management and benefits enrollment ;assistance. ;",;  Behavioral Health Services ;(for established patients);  Health Insurance  ;Navigation Services; Laboratory Services; Medication Services; Primary Care; Social Work Services;,; Diabetes; Flu Shots; HIV;  Immunizations  ;other than Flu ; Pregnancy Testing; STD; TB Testing;,Medical ;FQHC;;
53,;Progressive Community Health Centers;Lisbon Avenue Health Center;,";3522 W Lisbon Avenue, Milwaukee, WI 53208 ;(414) 935-8000;  Fax: (414) 344-3381;www.progressivechc.org;  info@progressivechc.org;","s: 35, 57;", N 35th Street and W Lisbon Avenue;, Monday – Thursday 8:00 am – 6:00 pm;  ;Friday 8:00 am – 5:00 pm; Call to schedule an appointment;  Walk-ins accepted for established patients; calling ahead is  ;encouraged to determine provider availability;," English, Hmong, Language Line;",; All ages; Clinic will assist with insurance enrollment;, Homeless; Pregnant Women  ;, Commercial Insurance; Medicaid / ;BadgerCare; Medicare; Qualified Health Plan Insurer; Uninsured;, Sliding fee scale; clinic bills 3rd party payer;," Photo identification, medical history,  ;insurance card (if applicable), co-pays (if applicable);",";Provides comprehensive primary care services for people of all ages and incomes. ;Services include: family medicine, internal medicine, women’s health, behavioral ;health, urgent care, dental, radiology, chronic disease management, and health ;education classes.;",;  Behavioral Health Services ;(for established patients); Dental Health Services;  Health Insurance  ;Navigation Services; Laboratory Services; Medication Services; Primary Care; Radiology Services; Social Work Services; Women’s Health Services; Specialty Services ;  Gynecology ;  Pulmonary;,"; Diabetes; Flu Shots; HIV;  Immunizations,  ;other than Flu; Pregnancy Testing; STD; TB Testing;",Medical ;FQHC;;
54,;Repairers of the Breach Medical Clinic;,";1335 W Vliet Street, Milwaukee, WI 53205;(414) 342-1065;  Fax: (414) 344-9407;www.repairers.org;  mc.repairers5812@sbcglobal.net;","s: 12, 33;", N 14th and W Vliet Streets;," Tuesday-Thursday 9:00 am – Noon;  ;Occasional Saturdays 8:30 am – Noon;  First come, first served; sign-up sheet is in the shelter area; ;hours are subject to change; Walk-ins accepted;", English;,; Adults 18 – 65;, Homeless;, Uninsured; Underinsured;, Completely free to all users;, Current medication list including dosage ;and frequency;,";The clinic provides general medical care, medication services, HIV and hepatitis C ;testing twice monthly, reading glasses once every 6 months, and influenza clinics ;(when available). An allergy specialist, a physician with a cardiology background, ;and orthopedic care are also available. ;",;  Medication Services; Primary Care; Vision Health Services ; (reading glasses only);  Women’s Health Services ;(physical breast exam ;twice yearly by external ;provider);  Specialty Services;  Cardiology;  Foot Care / Podiatry;,; Diabetes; Dietary/Nutrition Services; Flu Shots (if available); HIV;,Medical  ;Free or Charitable Clinic;;
55,;Salvation Army Medical Clinic;,";1730 N 7th Street, Milwaukee, WI 53207 ;(414) 265-6360, ext. 122;  Fax: (414) 431-0591;siemaszko@sbcglobal.com;","s: 57, 80;", N 7th and W Walnut Streets;, every other Monday 8:30 am – Noon; Tuesday 8:30 am – ;Noon; every other Wednesday 8:30 am – Noon; Thursday 8:00 am ;– Noon; Friday: RN clinic only – no medical provider; Appointments encouraged; call to schedule an appointment; Walk-ins accepted; call before coming;, English;,; Adults 18 – 65; Clinic will assist with insurance enrollment;, Homeless; patients coming out of ;incarceration;, Commercial Insurance; Medicaid / ;BadgerCare; Medicare; Uninsured; clinic works with uninsured and ;insured patients without PCP;, Clinic bills 3rd party payer;, List of medications; medical records;,";This is a “bridge clinic” assisting patients who are homeless, uninsured or coming ;out of incarceration.  Services are provided by volunteer MDs, PAs and NPs and ;include assistance with short term management of primary care issues. The clinic ;does not manage patients who are on Coumadin. The clinic has limited hours; ;appointments are encouraged. ;",;  Health Insurance Naviga-;tion Services; Laboratory Services; Medication Services; Primary Care; Radiology Services; Social Work Services;  Vision Health Services ;(provides vouchers to ;other agencies that help ;with vision issues);,; Diabetes; Flu Shots;  TB Testing  ;,Medical  ;Free or Charitable Clinic;;
56,;Saturday Clinic for the Uninsured;,";1121 E North Avenue, Milwaukee, WI 53211;(414) 588-2865; Fax: (414) 267-3893  ;www.columbia-stmarys.org/Saturday_Uninsured  ;scuboard@mcw.edu;","s: 14, 21;", E North Avenue and N Humboldt Boulevard;," Saturday 8:00 am – Noon;  Walk-ins only; clients are seen on a first come, first served basis; ;it is recommended to arrive as early as 7:00 am to ensure being ;seen; Last new patient seen at 11:00 am;"," English, Language Line;", ;  All ages; Pediatric patients by appointment only; call before coming; Clinic will assist with insurance enrollment;,,  Uninsured;, Completely free to all users;,,";This is a free clinic for the uninsured. Patients are treated by volunteer medical ;students and physicians on a first come, first served basis. The Clinic provides a ;wide array of services including: annual exams and physicals; woman’s health; ;minor procedures; chronic disease management; diabetes management; and ;hypertension and cholesterol care. On-site referrals for ophthalmology, psychiatry, ;dermatology, neurology, ob/gyn, and pulmonology are available.;",; Behavioral Health Services;  Psychiatric Services;  Health Insurance ;Navigation Services; Laboratory Services; Medication Services; Pharmacy On-site;  Primary Care; Social Work Services; Vision Health Services; Women’s Health Services;  Specialty Services;  Cardiology;  Dermatology;  Gynecology;  Neurology;  Ophthalmology /  ;  Optometry;  Pulmonary;,; Diabetes; Dietary/Nutrition Services; Flu Shots; HIV; Pregnancy Testing; STD; TB Testing;,Medical  ;Free or Charitable Clinic;;
57,;Sixteenth Street Community Health Centers;Chavez Clinic;,";1032 S Cesar E Chavez Drive, Milwaukee, WI 53204 ;(414) 672-1353   www.sschc.org;",s: 14;, S Cesar E Chavez Drive & W Washington Street;, Monday – Friday 8:00 am – 8:00 pm;  ;Saturday 8:00 am – Noon; Call to schedule an appointment; Walk-ins accepted Monday-Friday;," English, Spanish, Language Line;",; All ages; Clinic will assist with insurance enrollment;, Pregnant Women ;, Commercial Insurance; Medicaid / ;BadgerCare; Medicare; Qualified Health Plan Insurer; Uninsured;, Sliding fee scale;, Call to inquire;,";Sixteenth Street Community Health Centers is an independent non-profit agency, ;offering primary healthcare (family medicine, internal medicine, pediatrics, mid-;wifery); behavioral health (psychology, psychiatry, licensed therapists, psycho-;therapy, advanced nurse practitioner prescriber, etc.); substance abuse services ;(AODA, MAT, IOP); social services; health education; and various other programs.      ;",; Behavioral Health Services;  Psychiatric Services;  Therapy;  Health Insurance  ;Navigation Services; Laboratory Services; Medication Services; Primary Care; Social Work Services;  Vision Health Services  ;(for established patients); Women’s Health Services;  Specialty Services ; Available by referral;,; Dementia Screening; Diabetes; Dietary/Nutrition Services; Flu Shots; Hearing; HIV;  Immunizations  ;other than Flu; Pregnancy Testing; STD; TB Testing;  Weight Loss Programs/;Support Groups;       ;,Medical ;FQHC;;
58,;Sixteenth Street Community Health Centers;Layton Clinic;,";4570 S 27th Street, Milwaukee, WI 53221 ;(414) 672-1353;www.sschc.org;",s: 27;, S 27th Street south of I-43;, Monday - Friday 8:00 am – 5:00 pm; Call to schedule an appointment;," English, Spanish, Language Line;",; All ages;, Pregnant Women;, Commercial Insurance; Medicaid / ;BadgerCare; Medicare; Qualified Health Plan Insurer; Uninsured;, Sliding fee scale;, Call to inquire;,";Sixteenth Street Community Health Centers is an independent non-profit agency, ;offering primary healthcare (family medicine, internal medicine, pediatrics, mid-;wifery); behavioral health (psychology, psychiatry, licensed therapists, psycho-;therapy, advanced nurse practitioner prescriber, etc.); substance abuse services ;(AODA, MAT, IOP); social services; health education; and various other programs.    ;",; Behavioral Health Services;  Psychiatric Services;  Therapy;  Health Insurance  ;Navigation Services; Laboratory Services; Medication Services; Primary Care;  Substance Use Disorder ;Services; Vision Health Services; Women’s Health Services;,; Dementia Screening; Diabetes ; Flu Shots; Hearing;  Immunizations  ;other than Flu; Pregnancy Testing; STD; TB Testing;,Medical ;FQHC;;
59,;Sixteenth Street Community Health Centers;Parkway Clinic;,";2906 S 20th Street, Milwaukee, WI 53215 ;(414) 672-1353   www.sschc.org;",s: 19;, S 20th Street and W Kinnickinnic River Parkway;, Monday – Friday 8:00 am – 8:00 pm; Call to schedule an appointment; Walk-ins accepted;," English, Spanish, Language Line;",; All ages; Clinic will assist with insurance enrollment;, Pregnant Women;, Commercial Insurance; Medicaid / ;BadgerCare; Medicare; Qualified Health Plan Insurer; Uninsured;, Sliding fee scale;, Call to inquire;,";Sixteenth Street Community Health Centers is an independent non-profit agency, ;offering primary healthcare (family medicine, internal medicine, pediatrics, mid-;wifery); behavioral health (psychology, psychiatry, licensed therapists, psycho-;therapy, advanced nurse practitioner prescriber, etc.); substance abuse services ;(AODA, MAT, IOP); social services; health education; and various other programs.    ;",; Behavioral Health Services;  Psychiatric Services;  Therapy;  Dental Health Services  ;(for children only);  Health Insurance  ;Navigation Services; Laboratory Services; Medication Services; Pharmacy On-site; Primary Care; Social Work Services;  Vision Health Services  ;(for established patients)          ; Women’s Health Services;  Specialty Services ;  Occupational Therapy ;  Physical Therapy;,; Dementia Screening; Diabetes; Dietary/Nutrition Services; Flu Shots; Hearing; HIV;  Immunizations  ;other than Flu; Pregnancy Testing; STD; TB Testing;  Weight Loss Programs/  ;Support Groups;,Medical ;FQHC;;
60,;St. Ann Center for Intergenerational Care;Bucyrus Campus Clinic;,";2450 W North Avenue, Milwaukee, WI 53205;(414) 210-2430;  (Fax) 414-210-2434;stanncenter.org;  lwheeler@stanncenter.org;","s: 21, 23, and 27, BlueLine, and PurpleLine;", N 24th Street and W North Avenue;,  Wednesday 9:00 am – 5:30 pm ; Call to schedule an appointment; Walk-ins accepted occasionally;, English; inquire about interpretation services when ;scheduling an appointment;,; Adults 18 – 65;,, Commercial Insurance; Medicaid / ;BadgerCare; Medicare; Qualified Health Plan Insurer; Uninsured;, $50.00 for uninsured patients; clinic bills 3rd ;party payer;," Photo identification, copy of insurance ;card(s) ;",";The St Ann Center for Intergenerational Care, Bucyrus Campus is currently ;providing services with a neurologist specialist for new and existing patients with ;neurological pre- and post-diagnoses, as well as Parkinson’s disease.;",;  Laboratory Services  ;(by referral);  Medication Services;  Radiology Services  ;(by referral);  Specialty Services ;  Neurology;,,Medical;;
61,;St. Ann Center for Intergenerational Care;Gardetto Family Community Dental Clinic;,";2450 W North Avenue, Milwaukee, WI 53205;(414) 210-2440;  Fax: (414) 210-2444;www.stanncenter.org;  klopac@stanncenter.org;","s: 21, 23, 27, BlueLine, and PurpleLine;", N 24th Street and W North Avenue;," Monday, Tuesday, Thursday and Friday 8:00 am – 5:00 pm; ; Call to schedule an appointment;"," English, Spanish, Interpreter Services;",; Age 11 and older; By referral only;, Persons with Moderate to Severe ;Cognitive or Physical Disabilities;, Commercial Insurance; Medicaid / ;BadgerCare; Uninsured;, Private pay patients are offered a 20% dis-;count and a no interest payment plan;, St. Ann Welcome Packet; referral from ;medical doctor or dentist; guardian consent form; medication list;,;This is a specialized clinic for those with moderate to severe cognitive and physi-;cal disabilities who find it challenging to be seen in a standard dental clinic or ;private practice. Patients must reside in the state of Wisconsin and have a referral ;from a medical doctor or dentist explaining their special needs. The clinic provides ;all services that are offered in a standard office except orthodontic and implant ;work. The clinic accepts all Wisconsin State insurance.;,;  Dental Health Services for ;Wisconsin residents with ;moderate to severe cogni-;tive and physical disabilities;   Prevention/Hygiene/ ;Prophylactic Services;   Restorative Dental  ;Services;  Tooth Extractions;    ;,,Dental;;
62,;UMOS Latina Resource Center (LRC) ;HIV Counseling and Testing Program;,";802 W Historic Mitchell Street, Milwaukee, WI 53204;(414) 389-6507;www.umos.org; Gina.Allende@umos.org;","s: 19, 54, and 80;", S 8th and W Historic Mitchell Streets;, Monday and Thursday 9:00 am – 4:00 pm; Call to schedule an appointment; Walk-ins accepted;," English, Spanish, Language Line;", ;  Ages 12 and older;,,, Completely free to all users;, Call to inquire;,";Funded through the WI Department of Health Services, UMOS offers free ;individualized, anonymous, and confidential HIV and STI testing, syringe/needle ;exchange, condom distribution and resource/referral services in English and ;Spanish.;",,; HIV; STD;,STD/HIV;;
63,;United Community Center – Human Services Department;,";1111 S 6th Street, 3rd floor, Milwaukee WI 53204;(414) 643-8530; Fax: (414) 647-8602;www.unitedcc.org; cervera83@gmail.com;",s: 80 ;, S 6th and W Washington Streets;, Monday – Thursday 7:00 am - 6:00 pm;  ;Friday 7:00 am – 5:00 pm; Call to schedule an appointment;  Walk-ins accepted (arrive at 7:00 am);," English, Spanish;", ; Adults 18 - 65; Clinic will assist with insurance enrollment for established patients;, Pregnant Women;, Medicaid / BadgerCare; Uninsured;, Sliding fee scale; clinic bills 3rd party payer;, Call to inquire;,";The Human Services Department at the United Community Center provides bilin-;gual and culturally competent programs for Hispanics and other minorities with ;alcohol and other drug abuse problems. Substance use disorder treatment services ;are available at multiple service levels depending on need: residential treatment, ;day treatment, outpatient treatment. All treatment services provided are available ;for men and women.;",; Behavioral Health Services;  Therapy; Social Work Services; Substance Use Disorder ;Services;,; HIV;,Behavioral Health;;
64,;UWM House of Peace Community Nursing Center;,";1702 W Walnut Street, Milwaukee, WI 53205 ;(414) 933-1590; Fax: (414) 933-0135;uwm.edu/nursing/community/house-of-peace/ ;","s: 12, 23, and 57;", N 17th and W Walnut Streets;, Monday – Thursday 9:00 am – 4:00 pm  ;  Call to schedule an appointment; ;, English;,; Adults 18 – 65;,,," Clinic is cash only fee for service; clinic does ;not accept insurance, credit cards, or checks; payment is required ;at time of service;", Photo ID;,";Nurse-led services include information and referral to community based resources. ;Available services are limited to TB skin tests, breast prosthesis and supplies for ;breast cancer survivors, health information and referral and select health screen-;ings.;",; Women’s Health Services;,; Diabetes; Dietary/Nutrition Services;  Health Information  ;and Referral; TB Testing;,Medical  ;Free or Charitable Clinic;;
65,;UWM Silver Spring Community Nursing Center;,";5460 N 64th Street, Room 143, Milwaukee, WI 53218 ;(414) 535-0432;  Fax: 414-535-0373;uwm.edu/nursing/community/silver-spring/ ;","s: 63, BlueLine;", N 64th Street and W Sheridan Avenue;, Monday – Thursday 9:00 am – 4:00 pm;  ;Friday 9:00 am – Noon;  Call to schedule an appointment ;," English, Language Line;",; Adults 18 – 65; Clinic will assist with insurance enrollment for established patients;,, Medicaid / BadgerCare; Qualified ;Health Plan Insurer; Uninsured;, Nominal fee for service;  clinic bills 3rd party ;payer.  ;, Based on specific program enrollment ;requirements ;,;This nurse-led clinic provides primary health care with integrated behavioral health ;and health promotion services. An appointment is required. People who already ;have a primary care provider will be referred to that provider for any care needs.;,;  Health Insurance  ;Navigation Services;    Medication Services ;(sample medications  ;may be available for  ;registered clients as a  ;start to treatment); Primary Care; Women’s Health Services;,; Diabetes; Pregnancy Testing; TB Testing;,Medical  ;Free or Charitable Clinic;;
66,;Whole Health Clinical Group;,";932 S. 60th St., West Allis, WI 53214;(414) 476-9675; Fax: (414) 615-0627;",s: 23 and 64;, S 60th Street and W Greenfield Avenue;," Monday-Friday, 8:00 am-4:30 pm; Call to schedule an appointment; Walk-ins accepted;"," English, Spanish, Language Line;",; Ages 18-65;  Clinic will assist with insurance enrollment for established  ;patients;," Individuals with behavioral health, ;co-occurring, and trauma issues;", Commercial Insurance; Medicaid / ;BadgerCare; Qualified Health Plan Insurer;, Sliding fee scale;, Proof of identification and insurance; ;,;Whole Health Clinical Group (WHCG) is a Community Health Organization. WHCG ;Integrated Behavioral Health Medical Home provides primary care services to ;individuals with severe mental illness (the most high-risk population for chronic ;medical conditions) as well as people recovering from mental illness and sub-;stance abuse. WHCG is also a licensed outpatient mental health and substance ;abuse clinic; it provides case management services. An on-site pharmacy is avail-;able to consumers.;,; Behavioral Health Services;  Psychiatric Services  ;  Health Insurance ;Navigation Services; Laboratory Services; Pharmacy On-site; Social Work Services;  Substance Use Disorder ;Services;,,Behavioral Health;;
